,index,Unnamed: 0,ext_temp,temp_top,temp_bottom,int_temp,sample_time,identifier,r_x,r_y,r_z,metal_fraction,job_no,id,orientation,which_iter,boundary_cond,Nx,Ny,Nz,Lx,Ly,Lz,x_mid,y_mid,z_mid,T_L,T_S,cond_metal_s,cond_metal_l,cond_olivine,dens_liq_metal,dens_solid_metal,dens_olivine,heat_cap_liq_metal,heat_cap_solid_metal,heat_cap_ol,latent_heat,dt,iterations,save_iter,iteration_list,model_id,percent_rounded,percent_geochem_preserved,expected_vol,actual_volume,mean_it0,mean_it1,mean_it2,mean_it3
621,622,622,1100.0,1100.0,1120.0,1860.0,0.0,random,136.0,70.0,136.0,0.6200000000000001,622,model_id_622,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_622,94.21144343571606,0.0,5420561.066666666,5422008.0,1808.8364663098978,1671.8000554169523,1604.4693056388967,1579.3528633715614
622,623,623,920.0,920.0,990.0,1740.0,0.0,random,120.0,44.0,120.0,0.5100000000000001,623,model_id_623,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_623,76.26257598383035,41.7545288625428,2652672.0,2651880.0,1671.8762484575025,1489.7136501864577,1400.6295125500862,1367.9784589068797
623,624,624,1550.0,1550.0,1590.0,1810.0,0.0,random,12.0,104.0,12.0,0.6100000000000001,624,model_id_624,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_624,100.0,0.0,62699.51999999999,62216.0,1708.9004757019277,1603.4928259758924,1588.9790781827385,1585.5335947393567
624,625,625,380.0,380.0,400.0,1680.0,0.0,random,82.0,112.0,82.0,0.5100000000000001,625,model_id_625,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_625,67.3145839726698,82.49837048459379,3152928.4266666663,3154312.0,1586.6332530029526,1327.150032685663,1192.1185987334347,1140.578093918582
625,626,626,1330.0,1330.0,1425.0,1750.0,0.0,random,64.0,116.0,64.0,0.11,626,model_id_626,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_626,92.39804634896389,0.0,1989236.0533333332,1990120.0,1722.8027927032526,1644.2928476945212,1604.5155374308317,1589.4954671839346
626,627,627,400.0,400.0,485.0,1620.0,0.0,random,92.0,96.0,92.0,0.3,627,model_id_627,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_627,0.0,78.67150048079523,3401850.88,3402696.0,1544.9693227809669,1329.3678187989865,1215.3798255179383,1171.1594507348984
627,628,628,1090.0,1090.0,1155.0,1880.0,0.0,random,134.0,80.0,134.0,0.4800000000000001,628,model_id_628,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_628,95.58480601799812,0.0,6014062.933333334,6013960.0,1833.8919296143563,1706.7225642020928,1642.5258769184843,1618.1321640050242
628,629,629,1270.0,1270.0,1335.0,1710.0,0.0,random,30.0,20.0,30.0,0.19,629,model_id_629,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_629,53.65041872450075,47.6594374060554,75360.0,74512.0,1622.3633314768,1429.0997716082722,1373.9316078995007,1359.764871260185
629,630,630,740.0,740.0,770.0,1720.0,0.0,random,130.0,74.0,130.0,0.49,630,model_id_630,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_630,78.95544071211758,47.45749765891499,5235845.333333333,5236888.0,1660.9529909401144,1495.610040013625,1407.4781107228027,1373.1925610615758
630,631,631,1150.0,1150.0,1185.0,1720.0,0.0,random,62.0,42.0,62.0,0.6800000000000002,631,model_id_631,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_631,68.94508379954345,20.980046601298685,675928.96,676376.0,1651.8692775471418,1484.1089131342003,1408.769013189456,1382.2907515808208
